epoch,step,train_loss,train_acc,train_iou,train_dice
2,500,0.002237,0.999117,0.974081,0.986522
2,600,0.001903,0.999239,0.977888,0.988747
2,700,0.002032,0.999200,0.976651,0.987964
2,800,0.001804,0.999277,0.978440,0.989062
2,900,0.001607,0.999346,0.980133,0.989953
2,1000,0.001630,0.999333,0.979371,0.989561
2,1100,0.001590,0.999346,0.979867,0.989816
2,1200,0.001524,0.999368,0.980597,0.990188
2,1300,0.001522,0.999371,0.980836,0.990311
2,1400,0.001514,0.999374,0.981148,0.990470
2,1500,0.001526,0.999375,0.981265,0.990531
2,1600,0.001482,0.999389,0.981474,0.990638
2,1700,0.001489,0.999382,0.981356,0.990577
2,1800,0.001502,0.999377,0.981032,0.990411
2,1900,0.001456,0.999393,0.981461,0.990631
2,2000,0.001492,0.999383,0.981109,0.990451
2,2100,0.001488,0.999382,0.981388,0.990594
2,2200,0.001399,0.999419,0.982073,0.990943
2,2300,0.001678,0.999314,0.979490,0.989607
2,2400,0.001838,0.999285,0.978544,0.989095
2,2500,0.001576,0.999352,0.980311,0.990041
2,2600,0.001652,0.999312,0.979655,0.989698
2,2700,0.001611,0.999344,0.980087,0.989917
2,2800,0.001498,0.999375,0.981154,0.990475
2,2900,0.002358,0.999125,0.974734,0.987014
2,3000,0.001650,0.999324,0.979409,0.989580
2,3100,0.001493,0.999372,0.980603,0.990192
2,3200,0.001540,0.999354,0.980899,0.990343
2,3300,0.001421,0.999404,0.981558,0.990680
2,3400,0.001447,0.999389,0.981574,0.990687
2,3500,0.001386,0.999419,0.982001,0.990908
2,3600,0.001485,0.999381,0.981339,0.990567
2,3700,0.001399,0.999412,0.982004,0.990908
2,3800,0.001407,0.999406,0.982158,0.990987
2,3900,0.001365,0.999425,0.982455,0.991139
2,4000,0.001374,0.999419,0.982393,0.991106
2,4100,0.001381,0.999420,0.982623,0.991224
2,4200,0.001324,0.999441,0.982809,0.991318
2,4300,0.001384,0.999416,0.982310,0.991065
2,4400,0.001383,0.999417,0.982367,0.991093
2,4500,0.001374,0.999420,0.982450,0.991136
2,4600,0.001397,0.999406,0.981759,0.990782
2,4700,0.001350,0.999427,0.982740,0.991284
2,4800,0.001299,0.999449,0.983002,0.991417
2,4900,0.001482,0.999382,0.981198,0.990490
2,5000,0.001322,0.999444,0.982876,0.991354
2,5100,0.001351,0.999430,0.982596,0.991211
2,5200,0.001350,0.999426,0.982481,0.991152
2,5300,0.001328,0.999437,0.983138,0.991487
2,5400,0.001345,0.999428,0.982876,0.991352
